ingredient_id,package_unit_id,brand,product_name,package_quantity,upc
1,1,Sample Pantry,All-Purpose Flour 1 kg Bag,1000.0000,
1,1,Sample Pantry,All-Purpose Flour 2 kg Bag,2000.0000,
2,1,Sample Pantry,Granulated Sugar 500 g Bag,500.0000,
2,1,Sample Pantry,Granulated Sugar 1 kg Bag,1000.0000,
3,1,Sample Pantry,Unsalted Butter 250 g Pack,250.0000,
3,1,Sample Pantry,Unsalted Butter 500 g Pack,500.0000,
4,2,Sample Pantry,Whole Milk 1 L Carton,1000.0000,
4,2,Sample Pantry,Whole Milk 2 L Carton,2000.0000,
5,3,Sample Pantry,Large Eggs 6 Count Carton,6.0000,
5,3,Sample Pantry,Large Eggs 12 Count Carton,12.0000,
6,1,Sample Pantry,Long-Grain Rice 500 g Bag,500.0000,
6,1,Sample Pantry,Long-Grain Rice 1 kg Bag,1000.0000,
7,2,Sample Pantry,Olive Oil 500 mL Bottle,500.0000,
7,2,Sample Pantry,Olive Oil 1 L Bottle,1000.0000,
8,1,Sample Pantry,Table Salt 500 g Canister,500.0000,
8,1,Sample Pantry,Table Salt 1 kg Bag,1000.0000,
9,1,Sample Pantry,Rolled Oats 500 g Bag,500.0000,
9,1,Sample Pantry,Rolled Oats 1 kg Bag,1000.0000,
10,1,Sample Pantry,Honey 250 g Jar,250.0000,
10,1,Sample Pantry,Honey 500 g Jar,500.0000,
